CustomerID,prob_churn,churn_real,rank_risco
3333054,0.946,0,1
3143290,0.9299,1,2
3191090,0.9249,1,3
3360206,0.922,1,4
3072810,0.9179,0,5
3272650,0.9145,0,6
3253046,0.9138,1,7
3217586,0.913,1,8
3274730,0.9126,1,9
3010870,0.9114,1,10
3050254,0.9113,1,11
3279762,0.9105,0,12
3215594,0.9025,1,13
3212190,0.9008,1,14
3029402,0.8972,0,15
3084930,0.8967,1,16
3002214,0.8959,1,17
3008934,0.8934,0,18
3351346,0.8918,0,19
3271778,0.8908,1,20
3311758,0.8897,1,21
3116986,0.8887,1,22
3278174,0.887,1,23
3395054,0.8866,0,24
3252402,0.8823,1,25
3224102,0.8802,1,26
3189858,0.8738,0,27
3272318,0.8737,1,28
3269078,0.8736,1,29
3305262,0.8732,1,30
3222574,0.8723,0,31
3358634,0.8712,1,32
3352698,0.8708,0,33
3273678,0.8689,1,34
3243654,0.8683,1,35
3183090,0.8677,1,36
3133966,0.8663,0,37
3323602,0.8658,1,38
3277118,0.8645,0,39
3145438,0.8642,1,40
3191182,0.8635,1,41
3003894,0.8625,1,42
3309034,0.8623,1,43
3252382,0.8613,1,44
3278322,0.8601,1,45
3074570,0.8595,1,46
3269834,0.8589,1,47
3059634,0.8565,1,48
3269154,0.8564,1,49
3334326,0.8553,1,50
3273974,0.855,1,51
3241658,0.8547,0,52
3313162,0.8547,1,53
3331866,0.8528,1,54
3270910,0.8525,1,55
3365762,0.8503,1,56
3170018,0.8501,0,57
3025894,0.8493,1,58
3328490,0.8483,1,59
3334666,0.848,0,60
3007802,0.8476,0,61
3090454,0.8475,0,62
3109758,0.8471,0,63
3271462,0.847,1,64
3373498,0.847,1,65
3284402,0.8464,1,66
3319354,0.8459,1,67
3031658,0.8454,0,68
3024634,0.8444,1,69
3305274,0.8439,1,70
3337158,0.8438,1,71
3204078,0.8435,1,72
3336510,0.8428,1,73
3109642,0.8422,0,74
3286258,0.8418,1,75
3003422,0.8413,0,76
3383490,0.8413,0,77
3220634,0.8408,0,78
3060586,0.8407,1,79
3284722,0.8401,0,80
3300758,0.84,0,81
3366386,0.8399,1,82
3006838,0.8398,1,83
3290938,0.8394,0,84
3050618,0.8393,1,85
3237126,0.8361,0,86
3220398,0.8359,1,87
3288402,0.8355,1,88
3232394,0.8344,0,89
3262126,0.8342,0,90
3233738,0.8341,0,91
3288678,0.8336,0,92
3120214,0.8336,1,93
3012414,0.8335,0,94
3280062,0.8329,1,95
3110098,0.8315,1,96
3085622,0.8314,1,97
3399314,0.831,1,98
3066342,0.8305,0,99
3273782,0.8304,0,100
3236430,0.8297,1,101
3051910,0.8293,1,102
3247430,0.8289,0,103
3352786,0.8288,1,104
3039770,0.8287,0,105
3205442,0.8284,1,106
3362918,0.8277,1,107
3254382,0.8269,1,108
3308386,0.8266,1,109
3007270,0.8265,1,110
3138906,0.8262,1,111
3361682,0.8259,1,112
3240046,0.8256,1,113
3395098,0.8253,0,114
3032190,0.8244,0,115
3030402,0.8244,1,116
3364666,0.8244,1,117
3238134,0.8236,1,118
3168874,0.823,0,119
3311942,0.8229,0,120
3365550,0.8228,0,121
3237998,0.8227,1,122
3229458,0.8226,0,123
3272638,0.8225,0,124
3142686,0.8208,1,125
3193298,0.8201,0,126
3232702,0.82,1,127
3250582,0.8196,0,128
3082678,0.8194,0,129
3294554,0.8194,0,130
3005930,0.8192,1,131
3071390,0.8191,0,132
3359630,0.8182,1,133
3148206,0.8179,0,134
3182722,0.8175,1,135
3315162,0.8159,1,136
3387546,0.8151,1,137
3390546,0.8137,1,138
3234634,0.8137,1,139
3233538,0.8137,1,140
3098106,0.8136,0,141
3140130,0.8133,1,142
3227358,0.8132,1,143
3332194,0.8132,1,144
3279874,0.8131,0,145
3396986,0.812,1,146
3236230,0.8118,1,147
3164682,0.8115,1,148
3091350,0.8114,1,149
3062466,0.8109,1,150
3343958,0.8101,0,151
3263546,0.8099,0,152
3242650,0.8096,1,153
3280486,0.8096,0,154
3034934,0.8084,1,155
3043474,0.8081,0,156
3324062,0.8078,1,157
3139234,0.8073,1,158
3068006,0.8071,1,159
3215574,0.8068,0,160
3320666,0.8066,1,161
3136858,0.8064,1,162
3313594,0.8063,1,163
3139786,0.806,1,164
3174958,0.806,0,165
3269774,0.8047,0,166
3350482,0.8043,0,167
3229402,0.8033,0,168
3307270,0.8031,1,169
3329802,0.803,0,170
3022750,0.8029,0,171
3308366,0.8028,0,172
3398798,0.8021,0,173
3139106,0.8017,1,174
3029386,0.8013,0,175
3035038,0.8012,1,176
3280734,0.8003,1,177
3218554,0.8001,1,178
3228598,0.8001,1,179
3154818,0.7997,1,180
3362942,0.7996,1,181
3169230,0.7987,0,182
3212690,0.7985,1,183
3154802,0.7983,1,184
3044878,0.7979,1,185
3294874,0.7979,1,186
3157586,0.7966,1,187
3120542,0.7964,1,188
3026294,0.7955,0,189
3022158,0.7955,1,190
3239638,0.794,1,191
3101302,0.7936,0,192
3322090,0.7929,0,193
3314594,0.7924,1,194
3227930,0.7916,0,195
